DATEPRD,WELL_BORE_CODE,BORE_GAS_VOL
22-Nov-08,NO 15/9-F-12 H,"721,489"
23-Nov-08,NO 15/9-F-12 H,"687,856"
24-Nov-08,NO 15/9-F-12 H,"715,583"
25-Nov-08,NO 15/9-F-12 H,"726,974"
26-Nov-08,NO 15/9-F-12 H,"739,602"
27-Nov-08,NO 15/9-F-12 H,"750,704"
28-Nov-08,NO 15/9-F-12 H,"398,091"
29-Nov-08,NO 15/9-F-12 H,"706,716"
30-Nov-08,NO 15/9-F-12 H,"756,829"
01-Dec-08,NO 15/9-F-12 H,"738,451"
02-Dec-08,NO 15/9-F-12 H,"763,664"
03-Dec-08,NO 15/9-F-12 H,"771,334"
04-Dec-08,NO 15/9-F-12 H,"783,689"
05-Dec-08,NO 15/9-F-12 H,"749,253"
06-Dec-08,NO 15/9-F-12 H,"764,102"
07-Dec-08,NO 15/9-F-12 H,"770,155"
08-Dec-08,NO 15/9-F-12 H,"715,216"
09-Dec-08,NO 15/9-F-12 H,"730,268"
10-Dec-08,NO 15/9-F-12 H,"766,437"
11-Dec-08,NO 15/9-F-12 H,"740,305"
12-Dec-08,NO 15/9-F-12 H,"757,727"
13-Dec-08,NO 15/9-F-12 H,"760,767"
14-Dec-08,NO 15/9-F-12 H,"766,324"
15-Dec-08,NO 15/9-F-12 H,"770,085"
16-Dec-08,NO 15/9-F-12 H,"777,261"
17-Dec-08,NO 15/9-F-12 H,"782,191"
18-Dec-08,NO 15/9-F-12 H,"785,912"
19-Dec-08,NO 15/9-F-12 H,"787,882"
20-Dec-08,NO 15/9-F-12 H,"793,712"
21-Dec-08,NO 15/9-F-12 H,"797,068"
22-Dec-08,NO 15/9-F-12 H,"800,167"
23-Dec-08,NO 15/9-F-12 H,"801,713"
24-Dec-08,NO 15/9-F-12 H,"800,808"
25-Dec-08,NO 15/9-F-12 H,"799,405"
26-Dec-08,NO 15/9-F-12 H,"799,580"
27-Dec-08,NO 15/9-F-12 H,"813,071"
28-Dec-08,NO 15/9-F-12 H,"801,586"
29-Dec-08,NO 15/9-F-12 H,"802,974"
30-Dec-08,NO 15/9-F-12 H,"806,227"
31-Dec-08,NO 15/9-F-12 H,"809,027"
01-Jan-09,NO 15/9-F-12 H,"808,293"
02-Jan-09,NO 15/9-F-12 H,"806,596"
03-Jan-09,NO 15/9-F-12 H,"835,981"
04-Jan-09,NO 15/9-F-12 H,"809,543"
05-Jan-09,NO 15/9-F-12 H,"815,241"
06-Jan-09,NO 15/9-F-12 H,"681,104"
07-Jan-09,NO 15/9-F-12 H,"834,503"
08-Jan-09,NO 15/9-F-12 H,"851,132"
09-Jan-09,NO 15/9-F-12 H,"810,727"
10-Jan-09,NO 15/9-F-12 H,"844,193"
11-Jan-09,NO 15/9-F-12 H,"822,490"
12-Jan-09,NO 15/9-F-12 H,"784,575"
13-Jan-09,NO 15/9-F-12 H,"731,457"
14-Jan-09,NO 15/9-F-12 H,"753,891"
15-Jan-09,NO 15/9-F-12 H,"651,055"
16-Jan-09,NO 15/9-F-12 H,"630,122"
17-Jan-09,NO 15/9-F-12 H,"619,822"
18-Jan-09,NO 15/9-F-12 H,"627,031"
19-Jan-09,NO 15/9-F-12 H,"635,623"
20-Jan-09,NO 15/9-F-12 H,"618,234"
21-Jan-09,NO 15/9-F-12 H,"593,845"
22-Jan-09,NO 15/9-F-12 H,"671,066"
23-Jan-09,NO 15/9-F-12 H,"646,278"
24-Jan-09,NO 15/9-F-12 H,"653,051"
25-Jan-09,NO 15/9-F-12 H,"644,233"
26-Jan-09,NO 15/9-F-12 H,"635,969"
27-Jan-09,NO 15/9-F-12 H,"636,018"
28-Jan-09,NO 15/9-F-12 H,"720,845"
29-Jan-09,NO 15/9-F-12 H,"823,507"
30-Jan-09,NO 15/9-F-12 H,"629,756"
31-Jan-09,NO 15/9-F-12 H,"629,044"
01-Feb-09,NO 15/9-F-12 H,"756,467"
02-Feb-09,NO 15/9-F-12 H,"629,467"
03-Feb-09,NO 15/9-F-12 H,"631,333"
04-Feb-09,NO 15/9-F-12 H,"799,783"
05-Feb-09,NO 15/9-F-12 H,"640,815"
06-Feb-09,NO 15/9-F-12 H,"635,863"
07-Feb-09,NO 15/9-F-12 H,"391,983"
08-Feb-09,NO 15/9-F-12 H,"596,271"
09-Feb-09,NO 15/9-F-12 H,"607,654"
10-Feb-09,NO 15/9-F-12 H,"656,413"
11-Feb-09,NO 15/9-F-12 H,"636,708"
12-Feb-09,NO 15/9-F-12 H,"640,120"
13-Feb-09,NO 15/9-F-12 H,"559,545"
14-Feb-09,NO 15/9-F-12 H,"611,414"
15-Feb-09,NO 15/9-F-12 H,"600,565"
16-Feb-09,NO 15/9-F-12 H,"575,669"
17-Feb-09,NO 15/9-F-12 H,"637,411"
18-Feb-09,NO 15/9-F-12 H,"629,921"
